,Brand,Title,Review,Rating,Author Name,Review Date,Views,Like Count,Dislike Count,URL
583,Kia Seltos,Best car of the year,"The car has excellent looks and is available in nice colours. Overall the car is great with modern equipment, tires, beautiful interiors, LED lights and chrome fittings also.",5,Anonymous,12-Jul-19,19 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-car-of-the-year-71914.htm
584,Kia Seltos,Lovely car,"The car comes with very good looks, engine power, and other features are same as Mahindra XUV 300. The pricing of the car should be less than Mahindra XUV 300 or else it will be hard to compete in the Indian market.",3,Anonymous,11-Jul-19,88 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/lovely-car-71763.htm
585,Kia Seltos,Great Features,"Kia is a very nice car with a powerful engine, great features, interior, and exterior.",5,Navneet Singh,9-Jul-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/great-features-71573.htm
586,Kia Seltos,Nice look and design,One of the best SUV car in India with nice looks and design when compared to CretaThanks to Kia for bringing the great car in the Indian market,5,Brahma Reddy,8-Jul-19,24 Views,2 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/nice-look-and-design-71349.htm
587,Kia Seltos,Kia Seltos:Awesome Looks,Excellent looks The car can be a good competitor of Creta and hector the best selling cars in this segment. ,5,Anonymous,8-Jul-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/kia-seltosawesome-looks-71242.htm
588,Kia Seltos,Awesome car,Excellent features in this car also look very stylish.,5,Yogesh Patil,7-Jul-19,30 Views,2 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/awesome-car-70944.htm
589,Kia Seltos,Best car at this price.,The car looks really good and promising to me. The headlights with DRLs along with adjustable seat are nice and the new turbo petrol engine is surely an eye-catcher.,5,Anonymous,7-Jul-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-car-at-this-price-70884.htm
590,Kia Seltos,First Kia car,"Good car, comfortable seating, well interior and great pickup.",4,Gkj,5-Jul-19,47 Views,3 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/first-kia-car-70573.htm
591,Kia Seltos,Best Car,Kia Seltos is an awesome car with a fabulous design and a powerful engine. Great comfortable seating and excellent ground clearance getting in this car.,5,Bharghavgajjala G,3-Jul-19,47 Views,3 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-car-69978.htm
592,Kia Seltos,Kia Seltos muscle,If price 10lac its best mileage and cheap and best quality car presently in India battery charging decrease the pollution.,5,Nani Koppolu,29-Jun-19,73 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/kia-seltos-muscle-69102.htm
