,Brand,Review,Rating,Author Name,Review Date,URL
54,MG Hector,Hector is a nice SUV. I have experienced a wonderful feeling by seating or driving this SUV car. It is a very comfortable car. I think that its speed is more than kia seltos. Its music system is also better than the other cars which is in Hector's range. I will recommend everyone to buy this wonderful SUV car.,5,Kumar Prashant,"Nov 15, 2019",https://www.cardekho.com/user-review/mg-hector/great-decision-to-buy-hector-93715.htm
55,MG Hector,"Good mileage and best-running condition, power brakes, and best safety features and the body height is nice.",5,Sameer Khan,"Nov 17, 2019",https://www.cardekho.com/user-review/mg-hector/mg-hector-is-the-best-choice-93822.htm
56,MG Hector,"Hector is a great car, best handling, and torque I have ever experienced. AIl functions work good and the car generates ultimate power.",5,Ankit Chaudhary,"Nov 16, 2019",https://www.cardekho.com/user-review/mg-hector/one-of-my-best-cars-93757.htm
57,MG Hector,"Good car, the look is beautiful, sunroof is good, the functions in the car are very good.",5,Vishal Chaudhary,"Nov 13, 2019",https://www.cardekho.com/user-review/mg-hector/good-car-93587.htm
58,MG Hector,"Nice and best car ever. Nice features at a very affordable price, beautiful interior and classic exterior.",5,Rahul Me,"Nov 13, 2019",https://www.cardekho.com/user-review/mg-hector/nice-car-93572.htm
59,MG Hector,"Good Looking and best in the segment. The company is based in China and the UK basically. Talking about build quality & crash test rating, Let me tell you that, it got 5 stars in the China NCAP crash test. It offers many features at this price range. It Strongly competes with Tata Harier & KIA Seltos.",3,Nikhil Kumar,"Nov 16, 2019",https://www.cardekho.com/user-review/mg-hector/best-in-segment-car-93778.htm
60,MG Hector,"The cabin of MG Hector wears a more functional design, but there are some interesting bits like the shapely digital instrument cluster and the unconventional gear lever, which add a smattering of flair. The large digital speedo is easy to read, but the tachometer isn't. As if to make the point that this is not a sporty car, the rev tacho bar graph is so small, you'll have to squint to read it.",5,Pankaj Sharma,"Nov 12, 2019",https://www.cardekho.com/user-review/mg-hector/good-features-mg-hector-93510.htm
61,MG Hector,"MG Hector has got best design and comfort, car is just a boom but smooth as butter, performance of engine is awesome, you will feel like you are sitting in a plane in business class, MG hector has all the feature of top-class car and very satisfying especially on Indian roads Hector performed very effectively, Ground clearance is best in class, And the best thing, I like its voice feature, hello MG it is just awesome.",5,Somesh Jadhav,"Nov 13, 2019",https://www.cardekho.com/user-review/mg-hector/best-car-ever-mg-hector-93532.htm
62,MG Hector,"When we board into this vehicle MG Hector you will feel like you are sitting in a car which is too much of a premium car that costs 40 lakhs, though its a Chinese car it doesn't look like it, MG need to improve its service points at the earliest.",4,Gfvhgggh,"Nov 13, 2019",https://www.cardekho.com/user-review/mg-hector/new-is-not-enough-mg-hector-93515.htm
63,MG Hector,"From the day I saw this beast MG Hector which catches my heart and soul, Since the first time I grabbed it in my hands I felt like this is it, its all I ever wanted. Really inside of the car and the exterior looks awesome and the comfort is just to a next level of imagination for Indians, its hello MG internet feature takes the car industry of medium segment to a different level. I really can't even choose among the colours options that it has which is unique among itself and with a unique metallic finish. Just recommend the people to try this out you would really love having it.",5,Siddharth,"Nov 13, 2019",https://www.cardekho.com/user-review/mg-hector/magnificient-heavy-muscular-beast-mg-hector-93543.htm
64,MG Hector,MG Hector is an amazing car. This is a stylish car. All the cars of MG are amazing. MG Hector is one of the best cars. No other car can be compared with this car. Interior and the features of the car are amazing. It is a luxurious car. It is my dream car. Middle-class family can afford this car.,5,Jayesh Patil,"Nov 12, 2019",https://www.cardekho.com/user-review/mg-hector/amazing-car-mg-hector-93500.htm
65,MG Hector,"MG Hector is the best in the class car, awesome looks with great luxury feature especially the 360 view camera and the full sunroof. ",5,Divas Baghla,"Nov 11, 2019",https://www.cardekho.com/user-review/mg-hector/dream-car-mg-hector-93380.htm
66,MG Hector,"MG Hector is a nice car, nice interior and all variant are superb, superb design, interior, safety system, the average is nice, good for the long route. A complete car, adequate seating for 4-5 persons, this is best for a small family.",5,Milan Vyas,"Nov 09, 2019",https://www.cardekho.com/user-review/mg-hector/best-car-of-all-time-mg-hector-93201.htm
67,MG Hector,"MG Hector is a superb car, best in power, you feel the real luxury in this car. Five stars for this lovely beast. It's a luxurious powerful vehicle. ",5,Prakhar Trivedi,"Nov 13, 2019",https://www.cardekho.com/user-review/mg-hector/best-car-mg-hector-93530.htm
68,MG Hector,"MG Hector is an excellent car. Features are also excellent. Everything is good in this car, power, voice control, just like an Audi or BMW.",5,Himanshu Patidar,"Nov 09, 2019",https://www.cardekho.com/user-review/mg-hector/excellent-car-mg-hector-93195.htm
69,MG Hector,MG Hector has got stunning looks and features makes it the best car and the lighting styling and sunroof add to the marvel.,5,Anonymous,"Nov 11, 2019",https://www.cardekho.com/user-review/mg-hector/the-car-rocks-mg-hector-93354.htm
70,MG Hector,"MG Hector is an amazing car It is as good as an Audi Q7 the most attractive is the technology in this car and for me the sunroof and moonroof. The car is spacious the trunk is also huge and the price is also not that high, features are also amazing also the logo of the car is very attractive and design also not to forget the headlights and the taillights, very powerful. Thankyou MG waiting for more cars from you all.",5,Krish Bhatia,"Nov 07, 2019",https://www.cardekho.com/user-review/mg-hector/for-life-mg-hector-92976.htm
71,MG Hector,"MG hector one of the best competitor in SUV segment cars. IN MG hector all the feature are top class and very satisfying especially in Indian roads hector performed very effectively, Ground clearance is best in class.",5,Prathamesh Rao,"Oct 31, 2019",https://www.cardekho.com/user-review/mg-hector/review-mg-hector-92321.htm
72,MG Hector,"MG Hector has an eye-catching design, massive proportions and new-age tech make it a well-rounded package that should definitely be on the radar of prospective mid-size SUV owners. Though truly a rival for the Tata Harrier, Mahindra XUV500 and Jeep Compass in terms of its sheer size, keen pricing has also placed it precariously close to the likes of the Hyundai Creta.",5,Zehan Ahmad,"Nov 08, 2019",https://www.cardekho.com/user-review/mg-hector/worth-every-penny-mg-hecto-93052.htm
73,MG Hector,"Done 2 months with MG Hector. Loved each moment I drove it. Somehow managed to get over 10 Kmpl avg after 2000km on Petrol DCT Automatic driving in Delhi NCR. If anything that could have been better, I wish suspensions were as good as those of Jeep Compass. Nevertheless, better suspensions than many others in the segment.",5,Subhasis,"Nov 06, 2019",https://www.cardekho.com/user-review/mg-hector/beautiful-and-beastly-mg-hector-92911.htm
74,MG Hector,MG Hector is the best car in SUV because of its features and functions and its good look This is the car which hits and left all car behind by its selling point of view. I am a lover of this car too much.,5,Kamal Prakash Meena,"Oct 28, 2019",https://www.cardekho.com/user-review/mg-hector/my-favourite-car-92115.htm
75,MG Hector,"One of the best car in the market currently. Yes MG Hector is everything that a customer can wish for. It uses the best engines, it has the best infotainment, best speakers, best aesthetic looks, imposing front grille, biggest sunroof, largest boot, best AI, most comfortable seating and what not. You ask for a feature and its there. This also happens to be the most fuel-efficient car in the segment. But then again when you buy a car worth 19 Lakhs do you really look for efficiency? No, I don't think so. Had this car been anything german then it would probably have costed thrice the current price. This car is indeed a head-turner. You grab the attention of other cars on the road when you drive this massive beast. ",5,Sanket Banerjee,"Nov 08, 2019",https://www.cardekho.com/user-review/mg-hector/go-for-it-mg-hector-93057.htm
76,MG Hector,"Very stable and secure car from one of the leading SUV's MG Hector, Great design and interior implementation gives them an excellent look. Its 1965 cc engine creates a lightning power for an average of about 15-16 kmpl. Its a very good family pack for all those things and maintains an economic range. Go for it if you buy in this price segment without any obstruction.",5,Rohit Sharma,"Nov 03, 2019",https://www.cardekho.com/user-review/mg-hector/internal-beauty-mg-hector-92599.htm
77,MG Hector,"Dreaming a lot to buy a car and searching which to buy, finally seen MG Hector fallen in love with the car, the MG pick-up is awesome with 2 persons, slightly slow with 5 to 6 members and once the engine turned off on the road while driving, I got tension and found the problem is in the fuel change, overall superb car ever bought this is my first car purchase love you MG.",5,Anand K,"Nov 07, 2019",https://www.cardekho.com/user-review/mg-hector/original-beast-mg-hector-92991.htm
78,MG Hector,"The Hector looks the business, no two ways about it. The imposing hexagonal grille, the heavy chrome lining, and black detailing interspersed within the split LED headlamps, with their main units tucked into a recess, all make for a car that grabs your attention immediately, and holds on to it. For anyone wondering if these units are more prone to damage than more traditional lighting, the lamps on this car are very thoughtfully placed.",5,Abishak Kumar,"Nov 05, 2019",https://www.cardekho.com/user-review/mg-hector/styling-looks-hector-92814.htm
79,MG Hector,"Mg Hector feeling is like a luxurious car and a very costly car. Feels like Fortuner. Its ""hello mg"" feature helps a lot while driving.",5,Sudhanshu Dutta,"Nov 08, 2019",https://www.cardekho.com/user-review/mg-hector/luxurious-mg-hector-93060.htm
80,MG Hector,MG Hector is my dream car. It is a very good looking car. It has a beautiful look rather than others. Its interior is very beautiful and looks like a luxury car from the interior. It has also the best build quality. It is best for running on Indian roads. It's a very beautiful SUV car. It can defeat the craze of Scorpio as it has many features than Scorpio.,5,Vinod Kumar Tihal,"Oct 27, 2019",https://www.cardekho.com/user-review/mg-hector/my-dream-car-92043.htm
81,MG Hector,I bought the MG Hector Super Diesel MT after going through the specs and features. The fuel efficiency of the car is very good. The car is very spacious and comfortable for long journeys.,5,Pawan,"Oct 23, 2019",https://www.cardekho.com/user-review/mg-hector/mg-hector-super-diesel-mt-91645.htm
82,MG Hector,"It is an amazing experience with MG Hector and it's German-based company, powerful engine and mileage are good. Interior is designed in both metal and wood so good looking and main informing touching display is awesome and the voice commanding is enabled so easy to use this car and many colours are there. In the top, there is a sunroof And in front, headlamps are different than other cars its quad headlamps and LED DRL are there in this car and a big logo MG looks good overall it's a nice car.",5,Shivashankar Hm,"Oct 23, 2019",https://www.cardekho.com/user-review/mg-hector/fabulous-car-91644.htm
